Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
23,IND,Aaron Holiday,UCLA,7,448,7366,2897,709,900,.421,.382,.851,16.4,6.5,1.6,2.0,10.1,.066,-1.9,0.1
24,POR,Anfernee Simons,,7,389,10420,5837,973,1265,.431,.381,.880,26.8,15.0,2.5,3.3,12.8,.059,-1.1,2.2
25,LAL,Moritz Wagner,Michigan,7,363,6051,3328,1436,439,.525,.324,.807,16.7,9.2,4.0,1.2,16.9,.134,0.2,3.4
26,PHI,Landry Shamet,Wichita State,7,398,8389,3313,662,597,.413,.385,.833,21.1,8.3,1.7,1.5,13.1,.075,-2.0,0.0
27,BOS,Robert Williams,Texas A&M,7,235,4754,1691,1603,325,.723,.143,.674,20.2,7.2,6.8,1.4,23.9,.241,4.7,7.9
28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
29,BRK,Džanan Musa,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
31,PHO,Elie Okobo,,2,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
32,MEM,Jevon Carter,West Virginia,7,412,6279,2145,687,651,.394,.379,.799,15.2,5.2,1.7,1.6,8.5,.065,-1.5,0.8
33,DAL,Jalen Brunson,Villanova,7,487,14240,8821,1549,2449,.489,.389,.823,29.2,18.1,3.2,5.0,45.5,.153,2.3,15.5
34,ATL,Devonte' Graham,Kansas,6,336,8359,3733,758,1448,.371,.354,.812,24.9,11.1,2.3,4.3,12.7,.073,-0.5,3.2
35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,.340,.209,.533,9.1,2.7,0.9,0.2,-0.4,-.062,-10.0,-0.6
36,NYK,Mitchell Robinson,,7,337,8122,2636,2639,212,.700,,.522,24.1,7.8,7.8,0.6,35.2,.208,2.1,8.5
37,SAC,Gary Trent Jr.,Duke,7,415,11698,5698,983,599,.423,.391,.823,28.2,13.7,2.4,1.4,19.1,.078,-1.1,2.6
38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,.388,.316,.750,10.5,4.1,1.0,0.9,0.5,.058,-2.7,-0.1
39,PHI,Isaac Bonga,,4,143,1871,439,320,118,.432,.300,.759,13.1,3.1,2.2,0.8,1.7,.044,-3.6,-0.7
40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4
41,ORL,Jarred Vanderbilt,Kentucky,7,309,6175,1808,1926,436,.560,.288,.638,20.0,5.9,6.2,1.4,16.8,.130,0.1,3.2
42,DET,Bruce Brown,Miami (FL),7,457,11376,4045,1929,1117,.476,.337,.768,24.9,8.9,4.2,2.4,19.9,.084,-1.5,1.5
43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,BRK,Hamidou Diallo,Kentucky,6,265,4918,2272,1009,283,.495,.274,.623,18.6,8.6,3.8,1.1,6.2,.060,-2.1,-0.1
46,HOU,De'Anthony Melton,USC,7,356,8147,3231,1316,988,.410,.369,.779,22.9,9.1,3.7,2.8,14.3,.084,0.6,5.3
47,LAL,Svi Mykhailiuk,Kansas,7,331,5386,2169,589,462,.402,.360,.765,16.3,6.6,1.8,1.4,4.1,.037,-2.5,-0.7
48,MIN,Keita Bates-Diop,Ohio State,6,283,4566,1697,848,241,.474,.333,.751,16.1,6.0,3.0,0.9,7.4,.078,-1.6,0.5
49,SAS,Chimezie Metu,USC,6,260,3565,1522,908,197,.495,.298,.787,13.7,5.9,3.5,0.8,5.7,.076,-1.6,0.3
50,IND,Alize Johnson,Missouri State,5,76,568,189,228,32,.481,.227,.711,7.5,2.5,3.0,0.4,1.3,.108,-2.4,-0.1
51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-.116,-6.7,-0.1
54,DAL,Shake Milton,SMU,7,359,6698,2899,783,856,.451,.358,.824,18.7,8.1,2.2,2.4,11.7,.084,-2.0,-0.1
55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,.000,.000,,2.5,0.0,0.0,0.0,0.0,-.217,-21.8,0.0
56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.024,-6.2,-0.2
57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-.085,-5.1,0.0
58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
59,PHO,George King,Colorado,2,5,25,1,6,0,.000,.000,.500,5.0,0.2,1.2,0.0,-0.1,-.225,-17.2,-0.1
60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,.375,,.474,4.0,1.0,1.0,0.1,-0.2,-.098,-9.9,-0.2
1,PHI,Markelle Fultz,Washington,8,255,6123,2656,817,1111,.470,.280,.732,24.0,10.4,3.2,4.4,8.4,.066,-1.2,1.2
2,LAL,Lonzo Ball,UCLA,6,287,8964,3262,1565,1678,.398,.362,.599,31.2,11.4,5.5,5.8,12.6,.068,1.0,6.7
3,BOS,Jayson Tatum,Duke,8,585,20185,13784,4293,2243,.459,.370,.840,34.5,23.6,7.3,3.8,65.4,.156,3.8,29.4
4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1
5,SAC,De'Aaron Fox,Kentucky,8,531,17661,11399,2082,3262,.470,.330,.746,33.3,21.5,3.9,6.1,33.9,.092,0.8,12.7
6,ORL,Jonathan Isaac,Florida State,6,276,5640,2097,1359,222,.443,.323,.749,20.4,7.6,4.9,0.8,14.0,.119,1.0,4.2
7,MIN,Lauri Markkanen,Arizona,8,450,13958,8200,3201,657,.455,.371,.867,31.0,18.2,7.1,1.5,33.1,.114,1.0,10.6
8,NYK,Frank Ntilikina,,7,321,5454,1535,563,693,.369,.320,.762,17.0,4.8,1.8,2.2,0.3,.003,-4.4,-3.4
9,DAL,Dennis Smith Jr.,NC State,7,326,7601,3160,967,1381,.407,.298,.674,23.3,9.7,3.0,4.2,2.3,.015,-2.1,-0.2
10,SAC,Zach Collins,Gonzaga,7,378,7137,3013,1827,685,.482,.331,.767,18.9,8.0,4.8,1.8,11.9,.080,-1.5,0.9
11,CHO,Malik Monk,Kentucky,8,523,11943,6444,1377,1657,.434,.350,.848,22.8,12.3,2.6,3.2,15.2,.061,-1.0,2.9
12,DET,Luke Kennard,Duke,8,460,10759,4517,1301,1045,.457,.438,.881,23.4,9.8,2.8,2.3,23.6,.105,0.0,5.4
13,DEN,Donovan Mitchell,Louisville,8,539,18243,13320,2324,2530,.449,.366,.840,33.8,24.7,4.3,4.7,51.9,.137,3.5,25.2
14,MIA,Bam Adebayo,Kentucky,8,567,17354,8923,5024,2044,.537,.314,.756,30.6,15.7,8.9,3.6,57.6,.159,2.5,19.9
15,POR,Justin Jackson,UNC,7,280,4886,1676,654,285,.423,.319,.796,17.5,6.0,2.3,1.0,5.3,.052,-2.8,-1.0
16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
17,MIL,D.J. Wilson,Michigan,6,148,1818,657,454,110,.422,.331,.618,12.3,4.4,3.1,0.7,2.9,.077,-2.4,-0.2
18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
19,ATL,John Collins,Wake Forest,8,472,13739,7553,3805,697,.546,.363,.792,29.1,16.0,8.1,1.5,39.2,.137,0.7,9.2
20,POR,Harry Giles,Duke,4,165,1935,888,573,180,.508,.244,.661,11.7,5.4,3.5,1.1,3.1,.076,-2.5,-0.2
21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
22,BRK,Jarrett Allen,Texas,8,568,16021,7288,5239,948,.641,.164,.712,28.2,12.8,9.2,1.7,66.7,.200,2.4,17.7
23,TOR,OG Anunoby,Indiana,8,492,14854,6333,2144,831,.474,.375,.761,30.2,12.9,4.4,1.7,31.4,.101,0.2,8.3
24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.4,.038,-6.2,-0.5
26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.015,-6.2,-0.7
27,BRK,Kyle Kuzma,Utah,8,541,16855,9210,3413,1446,.450,.334,.721,31.2,17.0,6.3,2.7,14.4,.041,-1.5,1.9
28,LAL,Tony Bradley,UNC,7,193,2107,853,771,96,.632,.467,.667,10.9,4.4,4.0,0.5,8.0,.182,0.3,1.2
29,SAS,Derrick White,Colorado,8,494,14081,6399,1808,2065,.448,.369,.852,28.5,13.0,3.7,4.2,39.7,.135,2.2,15.0
30,UTA,Josh Hart,Villanova,8,530,16129,5473,3706,1688,.471,.342,.753,30.4,10.3,7.0,3.2,36.7,.109,0.5,10.1
31,CHO,Frank Jackson,Duke,5,214,3873,1816,392,222,.421,.332,.786,18.1,8.5,1.8,1.0,2.5,.031,-3.9,-1.9
32,PHO,Davon Reed,Miami (FL),4,122,1299,373,212,92,.408,.385,.667,10.6,3.1,1.7,0.8,1.5,.054,-2.9,-0.3
33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,.408,.292,.798,16.9,4.4,2.5,0.9,4.2,.053,-3.9,-1.8
34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,.396,.301,.755,15.7,6.7,2.0,2.6,1.2,.035,-2.7,-0.3
35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
36,PHI,Jonah Bolden,,2,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
37,BOS,Semi Ojeleye,SMU,5,284,4111,975,613,126,.384,.344,.717,14.5,3.4,2.2,0.4,5.2,.060,-3.4,-1.5
38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1
39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7
40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,.402,.314,.780,19.4,7.3,2.6,1.1,0.8,.010,-5.1,-3.1
41,ATL,Tyler Dorsey,Oregon,3,107,1680,710,245,135,.392,.351,.669,15.7,6.6,2.3,1.3,1.1,.031,-3.0,-0.5
42,UTA,Thomas Bryant,Indiana,8,333,5910,2958,1702,326,.582,.346,.778,17.7,8.9,5.1,1.0,20.4,.166,1.0,4.5
43,HOU,Isaiah Hartenstein,,7,379,7374,2584,2423,757,.592,.255,.686,19.5,6.8,6.4,2.0,28.0,.182,2.1,7.6
44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,.417,.345,.711,19.9,7.5,2.5,1.5,3.0,.034,-2.8,-0.9
45,HOU,Dillon Brooks,Oregon,8,492,14503,6970,1594,982,.419,.355,.804,29.5,14.2,3.2,2.0,14.7,.049,-3.4,-5.1
46,PHI,Sterling Brown,SMU,6,268,4458,1431,891,268,.419,.363,.796,16.6,5.3,3.3,1.0,6.6,.071,-2.1,-0.1
47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5
49,DEN,Vlatko Čančar,,5,143,1527,485,251,123,.472,.354,.847,10.7,3.4,1.8,0.9,2.4,.076,-2.5,-0.2
50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,DEN,Monte Morris,Iowa State,8,420,9808,3980,989,1510,.474,.389,.827,23.4,9.5,2.4,3.6,24.7,.121,0.3,5.6
52,NOP,Edmond Sumner,Xavier,5,161,2256,997,244,182,.470,.341,.811,14.0,6.2,1.5,1.1,3.2,.069,-3.0,-0.6
53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1
54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
56,BOS,Jabari Bird,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
57,BRK,Sasha Vezenkov,,1,42,511,225,96,19,.440,.375,.800,12.2,5.4,2.3,0.5,1.0,.098,-0.9,0.1
58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
1,PHI,Ben Simmons,LSU,7,383,11910,5021,2840,2754,.558,.139,.592,31.1,13.1,7.4,7.2,35.4,.143,3.0,15.0
2,LAL,Brandon Ingram,Duke,9,495,16316,9656,2566,2130,.468,.363,.788,33.0,19.5,5.2,4.3,27.3,.080,0.1,8.6
3,BOS,Jaylen Brown,California,9,603,18465,11436,3208,1589,.478,.359,.726,30.6,19.0,5.3,2.6,40.5,.105,0.3,10.8
4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
5,MIN,Kris Dunn,Providence,9,407,9497,3116,1355,1617,.437,.327,.736,23.3,7.7,3.3,4.0,11.8,.059,-1.1,2.2
6,NOP,Buddy Hield,Oklahoma,9,714,20180,10732,2936,1775,.433,.397,.858,28.3,15.0,4.1,2.5,27.7,.066,0.3,11.5
7,DEN,Jamal Murray,Kentucky,8,536,16796,9623,2018,2509,.455,.381,.870,31.3,18.0,3.8,4.7,38.1,.109,0.9,12.4
8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5
9,TOR,Jakob Poeltl,Utah,9,595,13320,5311,4153,1083,.631,.429,.555,22.4,8.9,7.0,1.8,44.2,.159,1.2,10.9
10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
11,ORL,Domantas Sabonis,Gonzaga,9,646,19899,10401,6880,3162,.560,.347,.729,30.8,16.1,10.7,4.9,69.9,.169,3.4,27.2
12,UTA,Taurean Prince,Baylor,9,582,14402,5745,2091,1005,.428,.384,.811,24.7,9.9,3.6,1.7,15.0,.050,-2.0,-0.1
13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2
15,DEN,Juancho Hernangómez,,7,339,5269,1711,1131,216,.428,.342,.676,15.5,5.0,3.3,0.6,8.7,.080,-1.9,0.1
16,BOS,Guerschon Yabusele,,3,144,2381,941,500,179,.489,.369,.714,16.5,6.5,3.5,1.2,5.0,.100,-1.2,0.5
17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
19,DEN,Malik Beasley,Florida State,9,578,13739,6738,1612,789,.426,.391,.769,23.8,11.7,2.8,1.4,20.1,.070,-0.9,3.7
20,IND,Caris LeVert,Michigan,9,524,14551,7274,1981,2105,.437,.345,.736,27.8,13.9,3.8,4.0,23.9,.079,-0.2,6.5
21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,.474,.283,.611,19.2,5.9,3.2,1.8,4.4,.038,-2.3,-0.4
22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7
23,BOS,Ante Žižić,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
24,PHI,Timothé Luwawu-Cabarrot,,6,328,5254,1937,656,293,.391,.335,.829,16.0,5.9,2.0,0.9,4.7,.043,-4.0,-2.7
25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
26,PHI,Furkan Korkmaz,,7,328,5447,2244,646,391,.406,.356,.761,16.6,6.8,2.0,1.2,7.6,.067,-2.0,0.1
27,TOR,Pascal Siakam,New Mexico State,9,629,19637,11325,4183,2261,.499,.339,.763,31.2,18.0,6.7,3.6,55.5,.136,2.0,19.6
28,PHO,Skal Labissière,Kentucky,5,152,2607,1074,665,153,.492,.360,.748,17.2,7.1,4.4,1.0,4.4,.081,-2.3,-0.2
29,SAS,Dejounte Murray,Washington,8,503,14745,7803,2925,2718,.453,.340,.790,29.3,15.5,5.8,5.4,26.2,.085,1.4,12.6
30,GSW,Damian Jones,Vanderbilt,8,279,3782,1366,869,193,.656,.351,.715,13.6,4.9,3.1,0.7,11.3,.143,-1.0,1.0
31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0
32,LAL,Ivica Zubac,,9,584,13434,5953,4742,794,.616,.083,.726,23.0,10.2,8.1,1.4,51.3,.183,0.9,9.8
33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.3,.139,-1.4,0.3
34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1
35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
36,MIL,Malcolm Brogdon,Virginia,9,463,13481,7077,1917,2156,.463,.388,.874,29.1,15.3,4.1,4.7,33.4,.119,1.3,11.2
37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1
38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6
39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-.211,-20.8,-0.1
41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-.005,-8.3,-0.2
42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4
43,HOU,Zhou Qi,,2,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-.093,-9.6,-0.2
44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,
45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1
46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-.001,-6.6,-0.2
47,ORL,Jake Layman,Maryland,6,243,3099,1175,417,127,.460,.300,.719,12.8,4.8,1.7,0.5,3.8,.059,-2.3,-0.2
48,CHI,Paul Zipser,,2,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-.001,-5.2,-1.4
49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-.136,-12.1,-0.1
50,IND,Georges Niang,Iowa State,9,544,9494,4046,1354,534,.445,.399,.852,17.5,7.4,2.5,1.0,15.9,.080,-1.7,0.7
51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-.473,-25.9,-0.1
52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0
53,DEN,Petr Cornelie,,1,13,38,14,14,3,.333,.125,.750,2.9,1.1,1.1,0.2,0.0,-.015,-8.8,-0.1
54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-.041,-4.7,-0.4
55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-.006,-8.8,0.0
56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1
57,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,
58,BOS,Abdel Nader,Iowa State,5,202,2583,926,376,110,.428,.357,.718,12.8,4.6,1.9,0.5,2.8,.052,-2.6,-0.4
59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,,,,
60,UTA,Tyrone Wallace,California,4,112,1714,566,236,127,.422,.207,.656,15.3,5.1,2.1,1.1,0.1,.003,-5.2,-1.4
1,MIN,Karl-Anthony Towns,Kentucky,10,645,21972,14880,7136,2037,.524,.400,.837,34.1,23.1,11.1,3.2,85.1,.186,4.4,35.3
2,LAL,D'Angelo Russell,Ohio State,10,629,18745,10868,2116,3586,.427,.365,.796,29.8,17.3,3.4,5.7,26.5,.068,0.6,12.4
3,PHI,Jahlil Okafor,Duke,7,248,4830,2566,1170,226,.542,.222,.676,19.5,10.3,4.7,0.9,7.2,.071,-2.0,0.0
4,NYK,Kristaps Porziņģis,,9,501,15406,9839,3888,913,.461,.366,.829,30.8,19.6,7.8,1.8,48.0,.150,2.7,18.1
5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.3,.121,-0.1,4.4
7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,.391,.305,.748,19.8,6.2,3.1,1.5,6.9,.037,-2.7,-1.6
9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,.430,.349,.746,19.8,8.8,3.8,1.6,15.9,.094,-0.2,3.7
10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,.412,.315,.638,25.9,8.2,5.1,2.6,8.2,.044,-2.1,-0.3
11,IND,Myles Turner,Texas,10,642,18454,9031,4349,813,.499,.362,.771,28.7,14.1,6.8,1.3,48.7,.127,0.8,13.0
12,UTA,Trey Lyles,Kentucky,10,650,11970,4935,2826,697,.441,.347,.741,18.4,7.6,4.3,1.1,22.0,.088,-1.0,3.0
13,PHO,Devin Booker,Kentucky,10,673,23149,16452,2718,3522,.464,.354,.873,34.4,24.4,4.0,5.2,51.5,.107,1.1,17.9
14,OKC,Cameron Payne,Murray State,10,477,8356,3703,951,1527,.419,.368,.836,17.5,7.8,2.0,3.2,13.9,.080,-0.6,3.0
15,ATL,Kelly Oubre Jr.,Kansas,10,655,17742,8696,3032,747,.438,.325,.751,27.1,13.3,4.6,1.1,24.9,.067,-1.9,0.6
16,BOS,Terry Rozier,Louisville,10,665,18357,9252,2610,2337,.418,.361,.829,27.6,13.9,3.9,3.5,30.5,.080,0.2,10.1
17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,TOR,Delon Wright,Utah,10,548,11175,3656,1650,1636,.447,.348,.799,20.4,6.7,3.0,3.0,28.9,.124,1.9,11.1
21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4
22,CHI,Bobby Portis,Arkansas,10,654,14907,7818,4685,850,.478,.383,.765,22.8,12.0,7.2,1.3,33.8,.109,-0.4,6.0
23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
24,CLE,Tyus Jones,Duke,10,682,14424,5249,1374,3022,.445,.378,.821,21.1,7.7,2.0,4.4,33.9,.113,0.5,9.3
25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,LAL,Larry Nance Jr.,Wyoming,10,546,12587,4204,3341,1017,.539,.353,.696,23.1,7.7,6.1,1.9,34.7,.132,1.2,10.3
28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,GSW,Kevon Looney,UCLA,10,599,10309,2977,3391,956,.575,.185,.608,17.2,5.0,5.7,1.6,37.4,.174,0.4,6.2
31,MIN,Cedi Osman,,7,476,10815,4427,1411,933,.432,.357,.711,22.7,9.3,3.0,2.0,12.5,.055,-2.1,-0.3
32,HOU,Montrezl Harrell,Louisville,8,515,10544,6220,2588,675,.619,.108,.664,20.5,12.1,5.0,1.3,42.9,.195,2.6,12.2
33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
